"sep=,"
"","","","","","","DB"
"Date","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","Historical Average"
"'25-Jul","","15.62","11.61","8.57","","","7.9","12.18","19.04","12.8566","","13.9476"
"'26-Jul","","15.67","11.66","8.26","12.55","","7.93","12.2","19.06","12.6602","","13.926"
"'27-Jul","","","11.06","8.34","12.52","9.55","","12.42","18.03","12.1691","29.2041","13.6893"
"'28-Jul","","","11.11","8.62","12.54","9.45","","","18.19","11.8298","29.6773","13.7437"
"'29-Jul","","15.48","","8.71","12.9","9.22","7.83","","","11.9995","29.9094","13.7769"
"'30-Jul","","15.79","","","12.51","9","7.75","12.79","","","31.0254","13.8875"
"'31-Jul","","15.56","11.13","","","8.92","7.81","13.06","17.84","","31.2665","13.8806"
"'01-Aug","","15.08","11","8.63","","","7.61","12.95","18.13","11.6691","","13.7766"
"'02-Aug","","14.38","10.73","8.51","12.4","","7.89","12.54","18.01","11.2317","","13.5878"
"'03-Aug","","","10.96","8.73","12.46","9.22","","12.5","18.06","11.3299","31.1415","13.6671"
"'04-Aug","","","11.02","8.82","12.32","9.25","","","18.33","11.3388","30.3737","13.6223"
"'05-Aug","","14.08","","8.91","12.55","9.34","7.65","","","11.7406","30.4094","13.653"
"'06-Aug","","14.15","","","12.7","9.22","7.63","12.52","","","30.3022","13.6523"
"'07-Aug","","14.08","11.1","","","9.22","7.47","12.62","18.23","","30.1505","13.6221"
"'08-Aug","","14.31","10.75","8.93","","","7.66","12.52","17.99","12.0263","","13.6257"
"'09-Aug","","14.53","10.82","8.91","12.8","","7.53","12.4","17.58","12.2584","","13.6199"
"'10-Aug","","","10.96","9.11","12.72","9.42","","11.82","16.86","12.6959","30.3915","13.6037"
"'11-Aug","","","10.95","9.14","12.95","9.56","","","17.05","12.7048","29.9273","13.6162"
"'12-Aug","","14.49","","9.37","12.85","9.71","6.95","","","12.7227","29.3559","13.5269"
"'13-Aug","","14.67","","","12.96","9.55","7.21","11.45","","","29.2309","13.5164"
"'14-Aug","","14.79","10.9","","","9.52","6.69","11.49","17.29","","28.9362","13.4669"
"'15-Aug","","15.15","10.78","9.15","","","6.44","11.19","17.13","12.8119","","13.4068"
"'16-Aug","","15.5","10.69","9.21","12.73","","6.94","11.21","17.04","12.7048","","13.4481"
"'17-Aug","","","10.72","8.99","12.45","9.46","","11.2","16.44","12.4727","28.6952","13.2868"
"'18-Aug","","","10.72","8.96","12.45","9.4","","","16.52","12.4727","28.3827","13.2545"
"'19-Aug","","15.69","","8.53","12.25","9.54","7.05","","","12.0977","28.1059","13.1704"
"'20-Aug","","15.44","","","12.28","9.34","6.97","11.22","","","27.1863","13.0304"
"'21-Aug","","15.67","10.73","","","9.18","7.01","11.54","16.17","","26.5256","12.9733"
"'22-Aug","","16.2","10.61","8.39","","","7.17","11.61","16.3","12.062","","13.0328"
"'23-Aug","","16.45","10.71","8.32","12.38","","6.97","11.3","16.27","12.4995","","13.0605"
"'24-Aug","","","10.71","8.31","12.53","9.59","","11.39","16.28","12.6691","25.365","13.0264"
